,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Promoters,58.31,59.4,59.44,59.44,59.44,59.44,59.44,59.44,59.44
Public,41.69,40.6,40.56,40.56,40.56,40.56,40.56,40.56,40.56
No. of Shareholders,73.0,76.0,78.0,78.0,200.0,248.0,255.0,333.0,333.0
