,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,5.46,6.78,4.56,4.72,5.03,10.6,5.61,6.65,7.28,9.53,7.34,19.13,14.12
Expenses,4.79,5.63,3.9,4.14,4.25,6.93,4.77,4.99,5.71,8.57,6.12,14.49,8.58
Operating Profit,0.67,1.15,0.66,0.58,0.78,3.67,0.84,1.66,1.57,0.96,1.22,4.64,5.54
OPM %,12.27,16.96,14.47,12.29,15.51,34.62,14.97,24.96,21.57,10.07,16.62,24.26,39.24
Other Income,0.17,0.12,0.07,0.1,0.09,0.11,0.23,0.38,0.32,0.24,0.3,0.37,0.26
Interest,0.0,0.0,0.04,0.01,0.03,0.03,0.03,0.04,0.06,0.12,0.14,0.08,0.21
Depreciation,0.23,0.27,0.32,0.32,0.26,0.31,0.37,0.27,0.33,0.23,0.17,0.19,0.20
Profit before tax,0.61,1.0,0.37,0.35,0.58,3.44,0.67,1.73,1.5,0.85,1.21,4.74,5.39
Tax %,31.15,31.0,32.43,34.29,31.03,31.4,28.36,29.48,31.33,31.76,31.4,22.78,
Net Profit,0.42,0.69,0.26,0.22,0.41,2.37,0.47,1.21,1.03,0.58,0.82,3.66,4.16
EPS in Rs,42.0,69.0,26.0,22.0,41.0,237.0,47.0,6.05,3.81,2.15,3.04,13.34,15.16
