,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,20.96,18.75,24.42,28.82,21.71,21.23,35.15,39.82,43.65,74.88,140.47,126.64,85.91
Expenses,24.42,19.64,23.71,30.46,21.42,20.56,34.47,40.29,42.81,72.09,134.84,123.53,86.17
Operating Profit,-3.46,-0.89,0.71,-1.64,0.29,0.67,0.68,-0.47,0.84,2.79,5.63,3.11,-0.26
OPM %,-16.51,-4.75,2.91,-5.69,1.34,3.16,1.93,-1.18,1.92,3.73,4.01,2.46,-0.30
Other Income,4.52,0.92,1.27,-3.1,0.55,0.4,0.13,1.06,0.1,0.02,-0.13,-0.43,-0.59
Interest,0.23,0.42,0.64,0.53,0.54,0.45,0.36,0.18,0.23,0.26,0.47,0.46,0.43
Depreciation,0.62,0.65,0.74,0.35,0.30,0.3,0.32,0.36,0.39,0.44,0.49,0.5,0.55
Profit before tax,0.21,-1.04,0.6,-5.62,0.00,0.32,0.13,0.05,0.32,2.11,4.54,1.72,-1.83
Tax %,-4.76,2.88,0.0,0.0,,0.0,0.0,0.0,0.0,3.79,21.37,38.95,
Net Profit,0.22,-1.0,0.6,-5.62,0.01,0.32,0.13,0.05,0.31,2.03,3.57,1.05,-1.75
EPS in Rs,0.26,-1.17,0.7,-6.57,0.01,0.37,0.15,0.06,0.36,2.37,4.17,1.23,-2.05
