,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,33.77,52.85,66.04,72.28,73.93,69.86,61.96,50.36,45.42,62.02,86.4,70.86,68.85
Expenses,30.73,44.08,52.26,51.99,53.74,52.16,56.11,49.85,48.61,55.96,73.28,58.67,56.81
Operating Profit,3.04,8.77,13.78,20.29,20.19,17.7,5.85,0.51,-3.19,6.06,13.12,12.19,12.04
OPM %,9.0,16.59,20.87,28.07,27.31,25.34,9.44,1.01,-7.02,9.77,15.19,17.2,17.49
Other Income,0.11,0.61,1.08,1.75,2.56,3.49,3.72,1.81,4.06,1.6,3.0,2.38,3.24
Interest,1.02,0.95,1.09,1.09,1.03,1.22,0.83,0.8,1.21,0.81,0.77,0.55,0.69
Depreciation,1.04,1.08,1.28,2.37,2.21,2.35,1.91,1.72,2.13,2.04,1.99,2.67,2.61
Profit before tax,1.09,7.35,12.49,18.58,19.51,17.62,6.83,-0.2,-2.47,4.81,13.36,11.35,11.98
Tax %,44.95,29.8,34.99,35.09,35.11,33.2,25.77,180.0,29.96,25.36,29.94,21.15,
Net Profit,0.61,5.17,8.12,12.06,12.66,11.77,5.06,0.16,-1.73,3.59,9.36,8.95,9.44
EPS in Rs,2.01,16.23,24.34,36.15,38.31,35.61,15.31,0.48,-5.23,10.86,28.32,27.08,28.56
