,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,70.89,70.94,71.3,71.32,71.32,71.32,71.32,71.32
Government,0.0,0.12,0.12,0.12,0.12,0.12,0.0,0.0
Public,29.11,28.94,28.59,28.57,28.57,28.57,28.7,28.68
No. of Shareholders,3879.0,3839.0,3827.0,3827.0,3824.0,4083.0,4216.0,4214.0
