,Mar 2007,Mar 2008,Mar 2009,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,142.16,179.81,177.06,116.5,122.41,91.78,160.57,86.48,83.90
Expenses,126.53,160.7,165.58,96.72,103.47,73.36,139.31,61.99,56.50
Operating Profit,15.63,19.11,11.48,19.78,18.94,18.42,21.26,24.49,27.40
OPM %,10.99,10.63,6.48,16.98,15.47,20.07,13.24,28.32,32.66
Other Income,11.39,8.32,11.09,0.11,0.11,0.1,0.26,0.34,0.37
Interest,7.03,10.98,10.64,10.6,8.82,9.26,9.52,10.12,12.45
Depreciation,5.55,6.88,6.8,7.28,6.0,5.54,5.09,7.41,8.64
Profit before tax,14.44,9.57,5.13,2.01,4.23,3.72,6.91,7.3,6.68
Tax %,29.29,41.17,34.11,-5.47,-0.95,4.84,3.47,8.36,
Net Profit,10.21,5.63,3.38,2.13,4.27,3.55,6.67,6.69,6.08
EPS in Rs,5.08,2.8,1.68,1.06,2.12,1.77,3.32,3.33,3.03
