,2007-03-01,2008-03-01,2009-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1
Reserves,33.51,38.74,35.03,68.72,71.67,73.98,84.32,89.21,90.4
Borrowings,110.75,131.32,138.92,82.35,96.22,97.72,93.71,104.53,137.38
Other Liabilities,26.23,42.78,35.34,7.89,13.27,15.43,17.91,21.5,19.21
Total Liabilities,190.59,232.94,229.39,179.06,201.26,207.23,216.04,235.34,267.09
Fixed Assets,73.7,103.77,90.0,70.94,71.65,67.14,63.54,79.82,80.2
CWIP,8.83,11.87,27.89,4.4,3.01,0.0,0.0,4.59,8.85
Investments,14.26,13.23,22.34,0.14,0.31,0.34,0.34,0.34,0.34
Other Assets,93.8,104.07,89.16,103.58,126.29,139.75,152.16,150.59,177.7
Total Assets,190.59,232.94,229.39,179.06,201.26,207.23,216.04,235.34,267.09
