,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,255,258,258,258,258,258,259,259,259,259,261,262,262
Reserves,1774,1996,2325,2466,2388,3309,3524,2492,2450,2460,2690,3084,3100
Borrowings,2128,2461,2992,3397,3819,2926,3323,2700,2640,2121,1865,1517,1544
Other Liabilities,1253,1519,1788,1855,1659,2032,3082,1872,1790,1872,2881,2035,2161
Total Liabilities,5409,6233,7363,7976,8125,8525,10188,7322,7138,6713,7697,6898,7067
Fixed Assets,2593,2694,2893,3208,3357,3672,3962,3421,3835,3590,3481,3427,3354
CWIP,192,208,135,100,147,96,116,262,113,78,46,80,142
Investments,42,68,129,59,544,277,76,78,90,70,66,211,189
Other Assets,2583,3263,4207,4609,4077,4481,6033,3561,3100,2974,4104,3180,3383
Total Assets,5409,6233,7363,7976,8125,8525,10188,7322,7138,6713,7697,6898,7067
