,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,1.38,1.7,1.14,1.23,1.25,1.24,1.35,1.23,1.32
Expenses,1.1,1.6,1.07,1.28,1.23,1.23,1.28,1.3,1.27
Operating Profit,0.28,0.1,0.07,-0.05,0.02,0.01,0.07,-0.07,0.05
OPM %,20.29,5.88,6.14,-4.07,1.60,0.81,5.19,-5.69,3.79
Other Income,0.08,0.09,0.07,0.19,0.11,0.15,0.12,0.18,0.09
Interest,0.12,0.12,0.09,0.1,0.10,0.09,0.12,0.07,0.09
Depreciation,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Profit before tax,0.21,0.04,0.02,0.01,0.00,0.04,0.04,0.01,0.02
Tax %,23.81,25.0,50.0,100.0,,25.0,25.0,0.0,50.0
Net Profit,0.16,0.03,0.02,0.0,0.00,0.03,0.03,0.01,0.02
EPS in Rs,0.39,0.07,0.05,0.0,0.00,0.07,0.07,0.02,0.05
