,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,138.1,196.88,238.29,244.99,250.85,256.17,282.65,281.36,282.47,305.56,274.96,267.54,234.43
Expenses,127.99,186.45,220.53,230.09,238.0,243.58,271.36,270.2,268.04,292.24,263.26,254.08,220.81
Operating Profit,10.11,10.43,17.76,14.9,12.85,12.59,11.29,11.16,14.43,13.32,11.7,13.46,13.62
OPM %,7.32,5.3,7.45,6.08,5.12,4.91,3.99,3.97,5.11,4.36,4.26,5.03,5.81
Other Income,0.83,1.47,-0.93,0.61,0.86,0.93,0.49,0.35,0.7,0.23,0.57,0.62,0.49
Interest,4.39,4.44,5.6,4.6,4.01,4.19,5.83,4.88,6.03,6.26,5.33,6.59,6.24
Depreciation,3.24,3.34,3.02,2.88,2.95,3.01,3.37,2.81,2.95,2.98,3.11,2.76,2.78
Profit before tax,3.31,4.12,8.21,8.03,6.75,6.32,2.58,3.82,6.15,4.31,3.83,4.73,5.09
Tax %,2.42,17.23,27.28,23.91,25.93,24.68,50.0,28.8,25.37,36.43,5.48,35.52,24.95
Net Profit,3.23,3.42,5.97,6.1,5.0,4.76,1.28,2.72,4.59,2.74,3.63,3.05,3.82
EPS in Rs,1.09,1.16,2.02,2.06,1.69,1.61,0.43,0.92,1.55,0.93,1.23,1.03,1.29
