,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,105.0,,74.0,67
Inventory Days,25.0,,11.0,21
Days Payable,141.0,,56.0,76
Cash Conversion Cycle,-11.0,,29.0,13
Working Capital Days,56.0,,45.0,34
ROCE %,,,,18
