,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,170,184,161,105,193,276,251
Expenses,167,184,158,103,189,256,235
Operating Profit,3,1,3,2,4,20,17
OPM %,2,0,2,2,2,7,7
Other Income,2,6,3,1,1,5,5
Interest,3,3,3,1,1,1,1
Depreciation,2,2,1,1,1,1,1
Profit before tax,0,3,2,0,2,23,20
Tax %,48,12,35,57,31,26,
Net Profit,0,2,1,0,2,17,15
EPS in Rs,,,,,,,
