,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,24.85,45.57,19.92,30.59,38.23,44.96,30.33,39.13,79.46,96.16,68.14,67.12
Expenses,23.46,42.02,17.76,28.82,36.18,42.37,28.99,37.78,76.81,87.75,61.42,61.97
Operating Profit,1.39,3.55,2.16,1.77,2.05,2.59,1.34,1.35,2.65,8.41,6.72,5.15
OPM %,5.59,7.79,10.84,5.79,5.36,5.76,4.42,3.45,3.34,8.75,9.86,7.67
Other Income,0.19,-0.06,0.15,0.37,0.0,-0.01,0.03,1.11,3.08,0.26,0.25,0.66
Interest,0.19,1.11,0.72,0.73,0.47,0.53,0.48,0.63,0.55,0.72,0.93,1.07
Depreciation,0.42,0.36,0.35,0.35,0.36,0.51,0.42,0.73,0.38,0.55,0.65,0.72
Profit before tax,0.97,2.02,1.24,1.06,1.22,1.54,0.47,1.1,4.8,7.4,5.39,4.02
Tax %,12.37,14.85,33.87,26.42,26.23,24.68,25.53,25.45,25.21,21.49,25.05,25.12
Net Profit,0.86,1.72,0.82,0.78,0.9,1.16,0.35,0.82,3.59,5.81,4.03,3.01
EPS in Rs,0.05,0.09,0.04,0.04,0.05,0.06,0.02,0.04,0.17,0.27,0.19,0.14
