,2006-03-01,2007-03-01,2008-03-01,2009-03-01,2010-03-01,2011-03-01,2012-03-01,2013-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,18,18,18,18,18,18,18,18,25,29,29
Reserves,2,11,25,39,49,48,62,67,293,304,275
Borrowings,30,38,54,57,212,263,280,254,501,436,440
Other Liabilities,7,14,31,32,35,47,64,74,297,271,280
Total Liabilities,58,82,128,146,314,376,425,413,1117,1041,1025
Fixed Assets,38,48,78,77,241,255,246,249,924,882,864
CWIP,2,5,0,20,2,3,33,0,1,1,1
Investments,0,0,0,0,0,3,0,7,0,0,0
Other Assets,17,29,50,49,71,116,146,156,191,158,160
Total Assets,58,82,128,146,314,376,425,413,1117,1041,1025
