,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,0.01,0.04,0.04,0.04,0.04,0.39,0.39,0.39,0.39,0.39
Reserves,0.0,0.0,0.1,0.12,0.03,-0.04,0.5,0.43,0.21,0.15,0.1
Preference Capital,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,
Borrowings,0.01,0.02,0.04,0.07,0.11,0.18,0.26,0.29,0.29,0.28,0.03
Other Liabilities,0.0,0.12,0.01,0.0,0.29,0.34,0.15,0.27,0.21,0.22,0.15
Total Liabilities,0.02,0.15,0.19,0.23,0.47,0.52,1.3,1.38,1.1,1.04,0.67
Fixed Assets,0.0,0.13,0.13,0.18,0.18,0.35,0.31,0.27,0.24,0.2,0.18
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,0.02,0.02,0.06,0.05,0.29,0.17,0.99,1.11,0.86,0.84,0.49
Total Assets,0.02,0.15,0.19,0.23,0.47,0.52,1.3,1.38,1.1,1.04,0.67
