,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,0.0,0.00,0.00,0.00,0.13,0.0,0.03,0.15,0.38,0.0
Expenses,0.0,0.0,0.07,0.05,0.09,0.16,0.34,0.08,0.36,0.41,0.1
Operating Profit,0.0,0.0,-0.07,-0.05,-0.09,-0.03,-0.34,-0.05,-0.21,-0.03,-0.1
OPM %,,,,,,-23.08,-1950.0,-166.67,-140.0,-7.89,
Other Income,0.0,0.0,0.00,0.00,0.00,-0.23,0.02,0.03,0.03,0.0,0.03
Interest,0.0,0.0,0.00,0.00,0.00,0.0,0.07,0.0,0.0,0.0,0.0
Depreciation,0.0,0.0,0.00,0.00,0.00,0.02,0.04,0.04,0.04,0.04,0.04
Profit before tax,0.0,0.0,-0.07,-0.05,-0.09,-0.28,-0.43,-0.06,-0.22,-0.07,-0.11
Tax %,,,0.00,0.00,0.00,-3.57,-2.33,-16.67,0.0,0.0,
Net Profit,0.0,0.0,-0.07,-0.05,-0.09,-0.3,-0.43,-0.06,-0.22,-0.07,-0.11
EPS in Rs,0.0,0.0,-17.77,-12.38,-22.28,-74.26,-11.12,-1.55,-5.69,-1.81,-2.85
