,Mar 2022,Mar 2023,TTM
Sales,7.51,7.71,8.17
Expenses,1.7,1.67,1.90
Operating Profit,5.81,6.04,6.27
OPM %,77.36,78.34,76.74
Other Income,1.24,0.95,1.30
Interest,0.35,0.38,0.40
Depreciation,0.13,0.13,0.14
Profit before tax,6.57,6.48,7.03
Tax %,22.83,23.77,
Net Profit,5.07,4.94,5.39
EPS in Rs,13.2,12.86,14.16
