,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,136.0,206.0,263.0,300.0,434.0,424.0,456
Expenses,113.0,172.0,208.0,234.0,325.0,363.0,380
Operating Profit,23.0,34.0,55.0,67.0,109.0,61.0,76
OPM %,17.0,17.0,21.0,22.0,25.0,14.0,17
Other Income,1.0,1.0,1.0,5.0,9.0,2.0,0
Interest,3.0,4.0,4.0,4.0,5.0,9.0,12
Depreciation,3.0,4.0,5.0,7.0,8.0,10.0,18
Profit before tax,19.0,27.0,48.0,61.0,104.0,45.0,47
Tax %,35.0,25.0,21.0,14.0,8.0,-2.0,
Net Profit,12.0,21.0,38.0,52.0,96.0,45.0,46
EPS in Rs,15.3,25.56,47.03,26.02,43.25,20.52,20.51
