,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,39.88,55.22,58.95,55.16,82.41,65.99,57.94
Expenses,0.06,39.27,54.09,57.84,54.68,80.4,62.55,54.23
Operating Profit,-0.06,0.61,1.13,1.11,0.48,2.01,3.44,3.71
OPM %,,1.53,2.05,1.88,0.87,2.44,5.21,6.40
Other Income,0.00,0.0,0.0,0.0,0.0,0.01,0.12,0.11
Interest,0.00,0.09,0.09,0.08,0.16,0.32,0.46,0.41
Depreciation,0.00,0.01,0.03,0.05,0.08,0.24,0.2,0.27
Profit before tax,-0.06,0.51,1.01,0.98,0.24,1.46,2.9,3.14
Tax %,16.67,25.49,26.73,25.51,37.5,26.71,25.86,
Net Profit,-0.05,0.38,0.74,0.73,0.14,1.07,2.15,1.98
EPS in Rs,-0.04,0.03,0.05,0.05,0.01,0.07,0.15,0.14
