,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,0.0,-10.53,-1.41,1.74,-2.08,0.45,4.72
Cash from Investing Activity,0.0,-0.04,-0.11,-0.05,-0.37,-0.94,-0.99
Cash from Financing Activity,0.97,11.97,-0.59,0.63,-0.03,0.77,-1.33
Net Cash Flow,0.97,1.39,-2.12,2.33,-2.48,0.28,2.4
