,2020-12-01,2021-03-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,3.1,4.53,3.36,3.02,9.62,3.94,4.19,5.07,6.07,5.07,5.24
Expenses,2.19,2.56,1.93,2.74,7.93,3.03,3.24,3.93,4.4,2.87,2.56
Operating Profit,0.91,1.97,1.43,0.28,1.69,0.91,0.95,1.14,1.67,2.2,2.68
OPM %,29.35,43.49,42.56,9.27,17.57,23.1,22.67,22.49,27.51,43.39,51.15
Other Income,0.56,0.38,1.17,0.07,1.85,0.59,0.05,0.16,0.43,0.17,0.16
Interest,0.35,0.77,0.33,0.23,0.14,0.0,0.01,0.07,0.11,0.17,0.41
Depreciation,0.91,0.89,0.69,0.63,0.6,0.47,0.44,0.88,0.85,1.03,1.38
Profit before tax,0.21,0.69,1.58,-0.51,2.8,1.03,0.55,0.35,1.14,1.17,1.05
Tax %,0.0,-210.14,-18.99,0.0,240.0,34.95,0.0,0.0,-103.51,0.0,0.0
Net Profit,0.21,2.14,1.88,-0.51,-3.92,0.67,0.55,0.34,2.33,1.17,1.05
EPS in Rs,0.2,2.06,1.81,-0.49,-3.77,0.64,0.53,0.33,2.24,1.12,1.01
