,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1.36,3.41,5.21,6.45,8.86,10.11,10.11,10.11,10.11,10.11,10.11
Reserves,0.09,0.39,0.84,1.19,1.61,2.27,2.8,2.7,3.23,2.95,3.15
Borrowings,0.86,1.92,2.08,2.65,1.01,4.06,1.87,6.22,19.74,9.1,6.79
Other Liabilities,11.87,13.99,16.63,12.81,11.52,19.53,28.99,23.96,7.28,4.42,5.93
Total Liabilities,14.18,19.71,24.76,23.1,23.0,35.97,43.77,42.99,40.36,26.58,25.98
Fixed Assets,0.58,0.51,0.32,0.49,1.42,1.22,0.93,0.75,1.06,0.9,0.77
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,13.6,19.2,24.44,22.61,21.58,34.75,42.84,42.24,39.3,25.68,25.21
Total Assets,14.18,19.71,24.76,23.1,23.0,35.97,43.77,42.99,40.36,26.58,25.98
