,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,14.39,44.25,40.35,42.84,34.35,75.47,85.82,68.67,31.28,19.06,17.76
Expenses,14.19,43.62,39.69,41.83,33.83,73.98,84.49,67.99,30.45,18.43,16.94
Operating Profit,0.2,0.63,0.66,1.01,0.52,1.49,1.33,0.68,0.83,0.63,0.82
OPM %,1.39,1.42,1.64,2.36,1.51,1.97,1.55,0.99,2.65,3.31,4.62
Other Income,0.0,0.04,0.1,0.05,0.74,0.04,0.03,0.03,0.03,0.05,0.04
Interest,0.06,0.27,0.25,0.37,0.35,0.35,0.36,0.38,0.47,0.37,0.33
Depreciation,0.02,0.09,0.13,0.16,0.22,0.29,0.28,0.23,0.16,0.22,0.25
Profit before tax,0.12,0.31,0.38,0.53,0.69,0.89,0.72,0.1,0.23,0.09,0.28
Tax %,25.0,29.03,28.95,33.96,26.09,25.84,27.78,50.0,-121.74,22.22,
Net Profit,0.09,0.21,0.27,0.35,0.52,0.66,0.53,0.06,0.51,0.07,0.30
EPS in Rs,0.66,0.62,0.52,0.54,0.59,0.65,0.52,0.06,0.5,0.07,0.30
