,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,4,1,-3,-5
Cash from Investing Activity,0,-1,-3,-3
Cash from Financing Activity,-3,0,7,7
Net Cash Flow,0,0,1,0
