,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,37,74,110,181,228
Expenses,35,71,106,171,216
Operating Profit,2,3,4,10,12
OPM %,5,4,4,6,5
Other Income,0,0,1,0,1
Interest,2,1,2,2,3
Depreciation,0,0,0,0,0
Profit before tax,0,1,3,8,9
Tax %,10,3,26,28,
Net Profit,0,1,2,6,6
EPS in Rs,,,,,
