,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,48.85,48.1,48.1,48.1,48.11,48.11,48.11,48.11
DIIs,0.0,0.0,0.0,0.57,0.57,0.0,0.0,0.0
Public,51.15,51.9,51.9,51.33,51.32,51.89,51.89,51.91
No. of Shareholders,2679.0,2671.0,3193.0,3178.0,3076.0,11653.0,10817.0,9339.0
