,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,5.75,3.8,4.93,22.46,22.93
Expenses,5.2,3.53,4.8,21.04,21.33
Operating Profit,0.55,0.27,0.13,1.42,1.60
OPM %,9.57,7.11,2.64,6.32,6.98
Other Income,-0.08,0.04,0.71,0.03,0.05
Interest,0.14,0.12,0.1,0.1,0.09
Depreciation,0.21,0.18,0.23,0.26,0.21
Profit before tax,0.12,0.01,0.51,1.09,1.35
Tax %,-33.33,100.0,54.9,23.85,
Net Profit,0.16,0.01,0.23,0.83,1.06
EPS in Rs,160.0,10.0,0.76,1.96,2.51
