,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,2.45,10.34,12.12,10.81
Expenses,2.58,9.81,11.22,10.11
Operating Profit,-0.13,0.53,0.9,0.7
OPM %,-5.31,5.13,7.43,6.48
Other Income,0.53,0.02,0.0,0.05
Interest,0.05,0.05,0.05,0.04
Depreciation,0.12,0.18,0.08,0.13
Profit before tax,0.23,0.32,0.77,0.58
Tax %,56.52,43.75,15.58,32.76
Net Profit,0.1,0.17,0.66,0.4
EPS in Rs,0.33,0.56,1.56,0.95
