,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.91,3.05,5.06,5.6,4.83,2.8,6.45,3.28,3.11,3.09,1.42,2.68,2.15
Expenses,1.58,3.22,4.41,4.53,4.14,2.09,1.91,5.28,3.76,1.71,1.67,1.8,1.75
Operating Profit,0.33,-0.17,0.65,1.07,0.69,0.71,4.54,-2.0,-0.65,1.38,-0.25,0.88,0.40
OPM %,17.28,-5.57,12.85,19.11,14.29,25.36,70.39,-60.98,-20.9,44.66,-17.61,32.84,18.60
Other Income,0.85,2.84,1.84,0.44,0.2,6.72,0.06,0.46,0.37,0.06,6.59,0.08,1.06
Interest,0.54,0.48,0.5,0.33,0.14,0.14,0.07,0.06,0.08,0.08,0.07,0.06,0.07
Depreciation,0.09,0.09,0.08,0.15,0.14,0.14,0.14,0.14,0.35,0.34,0.33,0.36,0.36
Profit before tax,0.55,2.1,1.91,1.03,0.61,7.15,4.39,-1.74,-0.71,1.02,5.94,0.54,1.03
Tax %,0.0,-59.05,3.66,10.68,16.39,4.48,29.61,-6.9,-15.49,627.45,1.68,29.63,
Net Profit,0.41,3.04,1.75,0.9,0.51,6.84,3.1,-1.87,-0.81,-5.38,5.84,0.38,0.80
EPS in Rs,0.31,2.33,1.34,0.69,0.39,5.25,2.38,-1.44,-0.62,-4.13,4.48,0.29,0.61
