,2018-03-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,9.89,9.37,17.56,17.76,24.97,37.07,36.78,45.25,47.17,17.22,28.15,30.04
Expenses,9.23,8.21,16.44,17.01,22.38,30.82,29.67,34.48,32.7,31.06,24.72,27.72
Operating Profit,0.66,1.16,1.12,0.75,2.59,6.25,7.11,10.77,14.47,-13.84,3.43,2.32
OPM %,6.67,12.38,6.38,4.22,10.37,16.86,19.33,23.8,30.68,-80.37,12.18,7.72
Other Income,0.02,-0.0,-0.0,-0.0,0.02,0.03,-0.0,-0.0,-0.0,-0.0,5.13,-0.0
Interest,-0.54,0.23,-0.0,-0.0,0.2,0.2,0.16,0.14,0.15,0.15,0.04,-0.0
Depreciation,0.1,0.14,0.11,0.11,0.2,0.2,0.13,0.17,0.13,0.13,0.14,0.13
Profit before tax,1.12,0.79,1.01,0.64,2.21,5.88,6.82,10.46,14.19,-14.12,8.38,2.19
Tax %,35.71,17.72,21.78,20.31,25.34,24.66,24.78,25.53,25.23,24.43,25.3,26.48
Net Profit,0.72,0.65,0.78,0.51,1.65,4.43,5.14,7.79,10.61,-10.67,6.25,1.62
EPS in Rs,0.42,0.28,0.33,0.22,0.71,0.67,0.47,0.71,0.97,-0.98,0.57,0.15
