,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,13.24,13.24,10.16,21.38,33.52
Expenses,11.85,11.85,9.28,18.55,23.03
Operating Profit,1.39,1.39,0.88,2.83,10.49
OPM %,10.5,10.5,8.66,13.24,31.29
Other Income,0.03,0.03,0.05,0.25,0.26
Interest,0.31,0.31,0.84,1.51,1.32
Depreciation,0.2,0.2,1.66,1.95,2.20
Profit before tax,0.91,0.91,-1.57,-0.38,7.23
Tax %,27.47,27.47,12.74,-21.05,
Net Profit,0.66,0.66,-1.38,-0.46,5.98
EPS in Rs,660.0,660.0,-2.53,-0.84,10.98
