,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,137.56,137.56,83.71,47.12
Inventory Days,115.21,115.21,202.07,267.67
Days Payable,98.9,98.9,31.43,32.82
Cash Conversion Cycle,153.88,153.88,254.34,281.96
Working Capital Days,140.6,140.87,243.57,214.6
ROCE %,,5.77,-2.89,3.69
