,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,4.03,6.13,9.11,12.27,21.25
Expenses,3.38,5.91,8.18,10.38,12.65
Operating Profit,0.65,0.22,0.93,1.89,8.6
OPM %,16.13,3.59,10.21,15.4,40.47
Other Income,0.0,0.06,0.03,0.22,0.04
Interest,0.4,0.44,0.64,0.87,0.45
Depreciation,0.69,0.97,0.94,1.0,1.2
Profit before tax,-0.44,-1.13,-0.62,0.24,6.99
Tax %,6.82,15.04,-1.61,25.0,17.02
Net Profit,-0.41,-0.96,-0.63,0.18,5.8
EPS in Rs,-410.0,-1.76,-1.16,0.33,10.65
