,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,0.0,0.0,23.71,42.61,44.68,50.32,43.44,39.14,11.23,3.01,3.64
Expenses,0.0,0.0,23.67,42.28,44.02,49.05,42.34,38.09,11.13,3.17,3.53
Operating Profit,0.0,0.0,0.04,0.33,0.66,1.27,1.1,1.05,0.1,-0.16,0.11
OPM %,,,0.17,0.77,1.48,2.52,2.53,2.68,0.89,-5.32,3.02
Other Income,0.0,0.0,0.02,0.02,0.08,0.01,0.01,0.02,0.02,0.14,0.31
Interest,0.0,0.0,0.0,0.12,0.51,0.88,0.83,0.84,0.02,0.0,0.0
Depreciation,0.0,0.0,0.0,0.04,0.03,0.04,0.03,0.03,0.02,0.02,0.03
Profit before tax,0.0,0.0,0.06,0.19,0.2,0.36,0.25,0.2,0.08,-0.04,0.39
Tax %,,,33.33,31.58,25.0,30.56,28.0,30.0,25.0,100.0,25.64
Net Profit,0.0,0.0,0.04,0.12,0.15,0.26,0.18,0.15,0.05,0.01,0.29
EPS in Rs,0.0,0.0,0.12,0.35,0.43,0.74,0.51,0.43,0.14,0.02,0.48
