,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.02,0.02,3.43,3.43,3.5,3.5,3.5,3.5,3.5,5.99,5.99,5.99
Reserves,0.0,0.0,0.04,0.16,0.31,0.5700000000000001,0.74,0.89,0.94,3.43,3.73,3.74
Borrowings,0.0,0.0,0.0,1.56,4.41,6.03,8.63,2.63,0.25,0.4,0.0,0.0
Other Liabilities,0.0,0.0,6.02,10.83,7.81,7.28,7.02,1.83,0.24,0.14,0.58,0.35
Total Liabilities,0.02,0.02,9.49,15.98,16.03,17.38,19.89,8.85,4.93,9.96,10.3,10.08
Fixed Assets,0.0,0.0,0.0,0.22,0.19,0.2,0.17,0.15,0.13,0.26,0.36,0.36
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,0.02,0.02,9.49,15.76,15.84,17.18,19.72,8.7,4.8,9.7,9.94,9.72
Total Assets,0.02,0.02,9.49,15.98,16.03,17.38,19.89,8.85,4.93,9.96,10.3,10.08
