,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-09-01
Sales,9.86,9.24,2.0,2.33,0.68,0.83,0.56
Expenses,9.83,8.33,2.82,2.92,0.28,0.83,0.61
Operating Profit,0.03,0.91,-0.82,-0.59,0.4,0.00,-0.05
OPM %,0.3,9.85,-41.0,-25.32,58.82,0.00,-8.93
Other Income,0.01,0.02,0.0,0.0,0.17,0.00,0.08
Interest,0.7,0.02,0.0,0.0,0.0,0.00,0.0
Depreciation,0.03,0.01,0.01,0.0,0.02,0.00,0.02
Profit before tax,-0.69,0.9,-0.83,-0.59,0.55,0.00,0.01
Tax %,0.0,0.0,0.0,0.0,-7.27,,0.0
Net Profit,-0.69,0.9,-0.83,-0.59,0.59,0.00,0.01
EPS in Rs,-1.97,2.57,-2.37,-0.98,0.98,0.00,0.02
