,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,23.33,126.74,32.69,86.62,26.27,83.32,65.55
Expenses,21.94,118.85,32.82,83.39,25.82,78.9,63.15
Operating Profit,1.39,7.89,-0.13,3.23,0.45,4.42,2.4
OPM %,5.96,6.23,-0.4,3.73,1.71,5.3,3.66
Other Income,0.07,0.02,0.02,0.02,0.07,0.0,0.01
Interest,1.04,0.82,0.84,1.51,0.53,1.49,1.38
Depreciation,0.24,0.1,0.1,0.11,0.12,0.12,0.14
Profit before tax,0.18,6.99,-1.05,1.63,-0.13,2.81,0.89
Tax %,144.44,20.03,-23.81,26.38,-76.92,28.11,28.09
Net Profit,-0.07,5.58,-1.3,1.2,-0.23,2.03,0.64
EPS in Rs,-0.01,0.73,-0.17,0.16,-0.03,0.27,0.08
