,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,0.84,0.79,-0.66,0.8,0.41
Cash from Investing Activity,-0.17,-0.16,-0.11,-3.13,-1.73
Cash from Financing Activity,-0.65,-0.64,0.76,3.15,0.51
Net Cash Flow,0.01,-0.01,-0.01,0.8200000000000001,-0.81
