,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,16.01,14.47,17.04,14.6,12.63,13.94
Expenses,15.49,13.14,16.39,14.03,11.72,12.58
Operating Profit,0.52,1.33,0.65,0.57,0.91,1.36
OPM %,3.25,9.19,3.81,3.9,7.21,9.76
Other Income,0.02,0.0,0.01,0.01,0.0,0.0
Interest,0.12,0.12,0.29,0.26,0.15,0.14
Depreciation,0.12,0.12,0.1,0.12,0.12,0.18
Profit before tax,0.3,1.09,0.27,0.2,0.64,1.04
Tax %,26.67,25.69,37.04,25.0,26.56,27.88
Net Profit,0.22,0.81,0.18,0.14,0.47,0.75
EPS in Rs,1.47,5.43,1.01,0.78,2.63,4.19
