,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,18.53,20.97,25.69,31.51,27.23,26.57
Expenses,17.65,19.78,24.23,29.51,25.75,24.30
Operating Profit,0.88,1.19,1.46,2.0,1.48,2.27
OPM %,4.75,5.67,5.68,6.35,5.44,8.54
Other Income,0.03,0.03,0.03,0.01,0.01,0.00
Interest,0.4,0.44,0.21,0.42,0.41,0.29
Depreciation,0.22,0.22,0.24,0.22,0.24,0.30
Profit before tax,0.29,0.56,1.04,1.37,0.84,1.68
Tax %,24.14,26.79,27.88,27.74,26.19,
Net Profit,0.21,0.4,0.75,0.98,0.62,1.22
EPS in Rs,4.22,8.04,5.03,5.48,3.46,6.82
