,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,0,1.0,2.0,3.0,16.0,25.0,110.0,154.0,152.0,268.0,905.0
Expenses,0,1.0,2.0,4.0,15.0,23.0,90.0,146.0,143.0,255.0,883.0
Operating Profit,-0,-0.0,0.0,-0.0,1.0,2.0,20.0,8.0,8.0,13.0,23.0
OPM %,,-1.0,3.0,-13.0,5.0,7.0,18.0,5.0,5.0,5.0,2.0
Other Income,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interest,0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,5.0,8.0
Depreciation,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Profit before tax,-0,0.0,0.0,-0.0,1.0,1.0,15.0,5.0,4.0,8.0,15.0
Tax %,0,0.0,17.0,0.0,18.0,25.0,35.0,28.0,28.0,25.0,25.0
Net Profit,-0,0.0,0.0,-1.0,1.0,1.0,10.0,4.0,3.0,6.0,11.0
EPS in Rs,-46.67,13.33,66.67,-12.59,13.09,8.46,8.56,2.25,1.85,3.74,6.93
