,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,0,0,0,0,1,12,16,16,16,16,16
Reserves,0,0,0,1,1,5,29,47,50,56,67,74
Borrowings,0,1,4,2,2,5,45,43,57,68,95,153
Other Liabilities,0,0,1,5,9,9,8,2,2,2,4,7
Total Liabilities,0,1,5,8,13,21,94,108,125,142,183,250
Fixed Assets,0,0,4,4,5,5,11,10,10,10,10,11
CWIP,0,0,0,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets,0,1,1,4,8,16,83,98,115,132,172,240
Total Assets,0,1,5,8,13,21,94,108,125,142,183,250
