,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,37.74,39.89,38.99,43.89,56.33,57.68,51.23,46.37,56.76,48.54,57.38,74.56,82.25
Expenses,35.11,37.26,35.56,40.67,52.78,54.06,48.44,44.22,55.33,44.9,57.03,69.41,75.78
Operating Profit,2.63,2.63,3.43,3.22,3.55,3.62,2.79,2.15,1.43,3.64,0.35,5.15,6.47
OPM %,6.97,6.59,8.8,7.34,6.3,6.28,5.45,4.64,2.52,7.5,0.61,6.91,7.87
Other Income,0.17,-0.04,-0.06,0.19,0.36,0.07,0.25,0.43,0.12,0.13,0.99,0.22,0.23
Interest,0.32,0.38,0.72,0.92,1.28,1.1,0.96,0.29,0.15,0.18,0.08,0.39,0.77
Depreciation,1.04,1.05,1.24,1.31,1.41,1.44,1.19,1.32,0.73,0.7,0.68,0.69,0.79
Profit before tax,1.44,1.16,1.41,1.18,1.22,1.15,0.89,0.97,0.67,2.89,0.58,4.29,5.14
Tax %,22.92,1.72,31.91,-10.17,14.75,2.61,-1.12,-1.03,35.82,28.37,29.31,26.34,
Net Profit,1.1,1.14,0.97,1.3,1.04,1.11,0.91,0.98,0.43,2.06,0.41,3.16,3.72
EPS in Rs,7.33,7.6,6.47,8.67,6.93,7.4,6.07,6.53,2.87,13.73,2.73,21.07,24.80
