,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,43.52,43.52,43.54,43.54,43.54,43.54,43.55,43.55
FIIs,2.73,2.17,1.85,1.92,0.72,0.95,1.23,1.56
DIIs,10.33,9.83,8.93,9.45,9.23,9.22,10.01,9.92
Public,43.42,44.48,45.67,45.09,46.51,46.29,45.21,44.98
No. of Shareholders,10177.0,10018.0,9791.0,10496.0,13853.0,18424.0,13157.0,14761.0
