,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,17,17,17,17,17,17,17,17,17,17,17
Reserves,16,21,20,21,22,30,32,40,58,77,82
Borrowings,46,72,87,93,93,97,87,65,81,73,69
Other Liabilities,18,48,32,36,32,37,29,32,38,42,46
Total Liabilities,98,158,156,168,164,180,165,155,194,209,215
Fixed Assets,20,47,59,62,62,61,68,59,70,72,86
CWIP,2,7,3,7,3,11,2,1,2,4,4
Investments,0,0,0,0,0,0,0,0,0,0,0
Other Assets,76,104,94,98,99,108,94,94,122,133,125
Total Assets,98,158,156,168,164,180,165,155,194,209,215
