,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,42.71,72.63,52.2,32.39,35.33,3.51,1.29
Expenses,0.0,40.46,71.87,50.42,32.75,33.91,5.43,3.87
Operating Profit,0.0,2.25,0.76,1.78,-0.36,1.42,-1.92,-2.58
OPM %,,5.27,1.05,3.41,-1.11,4.02,-54.7,-200.00
Other Income,0.0,0.8,1.49,0.12,0.62,0.69,0.83,0.76
Interest,0.0,1.42,1.51,1.31,0.52,0.79,0.49,0.39
Depreciation,0.0,0.21,0.24,0.28,0.22,0.23,0.31,0.26
Profit before tax,0.0,1.42,0.5,0.31,-0.48,1.09,-1.89,-2.47
Tax %,,26.76,28.0,25.81,22.92,24.77,25.93,
Net Profit,0.0,1.05,0.36,0.22,-0.38,0.82,-1.4,-1.91
EPS in Rs,,0.02,0.01,0.0,-0.01,0.01,-0.02,-0.03
