,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,,189.98,192.63,185.44,233.83,162.61,568.82
Inventory Days,,30.42,2.86,12.03,13.74,2.89,30.59
Days Payable,,50.3,46.28,45.41,11.66,1.33,18.35
Cash Conversion Cycle,,170.1,149.21,152.05,235.91,164.17,581.05
Working Capital Days,,160.49,144.68,194.18,326.01,242.78,1834.36
ROCE %,,18.22,6.51,5.62,0.12,6.16,-5.03
