,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.02,8.1,11.1,11.1,11.1,22.21,22.21,66.62
Reserves,0.0,5.52,13.41,13.63,13.26,2.97,1.57,1.13
Borrowings,0.0,12.37,11.21,7.85,7.37,4.1,2.63,2.35
Other Liabilities,-0.01,5.66,8.99,6.01,1.01,0.21,0.18,0.11
Total Liabilities,0.01,31.65,44.71,38.59,32.74,29.49,26.59,70.21
Fixed Assets,0.0,1.72,1.61,1.93,1.78,5.14,3.48,3.32
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,0.01,29.93,43.1,36.66,30.96,24.35,23.11,66.89
Total Assets,0.01,31.65,44.71,38.59,32.74,29.49,26.59,70.21
