,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,28.24,32.13,37.82,29.42,46.97,42.42,24.05,53.46,36.34,16.59,1.75,0.00,0.0
Expenses,27.43,30.79,36.35,30.12,40.73,39.77,24.17,51.9,34.73,16.59,7.36,1.87,0.74
Operating Profit,0.81,1.34,1.47,-0.7,6.24,2.65,-0.12,1.56,1.61,0.0,-5.61,-1.87,-0.74
OPM %,2.87,4.17,3.89,-2.38,13.29,6.25,-0.5,2.92,4.43,0.0,-320.57,,
Other Income,0.05,0.18,0.23,-2.05,0.08,0.36,0.06,3.94,0.07,0.02,0.35,0.09,0.05
Interest,0.21,0.62,0.73,0.8,0.62,1.21,1.8,0.84,0.59,0.01,0.01,0.00,0.0
Depreciation,0.28,0.29,0.34,0.27,0.21,0.18,0.36,0.4,0.27,0.19,0.14,0.10,0.06
Profit before tax,0.37,0.61,0.63,-3.82,5.49,1.62,-2.22,4.26,0.82,-0.18,-5.41,-1.88,-0.75
Tax %,-32.43,0.0,0.0,-3.4,-0.18,-3.7,10.81,29.34,21.95,-27.78,0.37,-1.06,
Net Profit,0.5,0.61,0.63,-3.95,5.49,1.68,-1.97,3.01,0.64,-0.24,-5.39,-1.89,-0.76
EPS in Rs,1.03,1.26,1.3,-8.17,11.35,3.47,-4.07,4.35,0.92,-0.35,-7.78,-2.73,-1.1
