,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,8.0,12.0,14.0,25.0,36.0,43
Expenses,3.0,4.0,4.0,5.0,6.0,9
Operating Profit,5.0,8.0,10.0,19.0,30.0,33
OPM %,65.0,65.0,70.0,79.0,83.0,78
Other Income,0.0,0.0,-0.0,0.0,0.0,1
Interest,0.0,0.0,0.0,0.0,1.0,0
Depreciation,4.0,6.0,6.0,9.0,15.0,18
Profit before tax,1.0,2.0,4.0,10.0,14.0,16
Tax %,27.0,25.0,26.0,25.0,25.0,
Net Profit,1.0,2.0,3.0,7.0,11.0,12
EPS in Rs,640.0,1870.0,2700.0,74.7,10.39,12.05
