,Mar 2011,Mar 2012,Mar 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,11.32,13.76,13.16,14.12,12.08,16.43,23.31,25.47,34.97,25.49,24.43,43.76,54.61
Expenses,11.2,13.61,12.72,13.62,11.6,15.57,22.17,24.3,33.57,24.39,21.24,36.02,45.66
Operating Profit,0.12,0.15,0.44,0.5,0.48,0.86,1.14,1.17,1.4,1.1,3.19,7.74,8.95
OPM %,1.06,1.09,3.34,3.54,3.97,5.23,4.89,4.59,4.0,4.32,13.06,17.69,16.39
Other Income,0.0,0.0,0.0,0.04,0.03,0.01,0.0,0.0,0.11,0.23,0.17,0.19,0.78
Interest,0.0,0.0,0.19,0.2,0.33,0.39,0.34,0.24,0.47,0.59,0.94,1.27,1.35
Depreciation,0.0,0.0,0.21,0.3,0.23,0.15,0.22,0.23,0.36,0.48,1.86,2.89,3.15
Profit before tax,0.12,0.15,0.04,0.04,-0.05,0.33,0.58,0.7,0.68,0.26,0.56,3.77,5.23
Tax %,41.67,33.33,175.0,-50.0,20.0,36.36,24.14,8.57,47.06,69.23,80.36,33.16,
Net Profit,0.08,0.09,-0.05,0.06,-0.03,0.21,0.44,0.64,0.37,0.08,0.12,2.52,3.32
EPS in Rs,80.0,90.0,-50.0,60.0,-30.0,0.92,0.43,0.63,0.36,0.08,0.12,2.49,3.27
