,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,39.25,40.16,42.38,44.27,45.84,43.18,40.94,51.69,59.48,57.45,69.39,74.46,72.57
Expenses,35.89,36.86,38.71,40.47,41.77,38.37,35.58,44.69,50.51,48.94,60.3,63.5,62.41
Operating Profit,3.36,3.3,3.67,3.8,4.07,4.81,5.36,7.0,8.97,8.51,9.09,10.96,10.16
OPM %,8.56,8.22,8.66,8.58,8.88,11.14,13.09,13.54,15.08,14.81,13.1,14.72,14.00
Other Income,0.14,0.74,1.23,1.22,1.8,1.24,0.82,0.89,0.8,1.3,1.33,0.84,1.25
Interest,0.93,0.83,0.74,0.48,0.33,0.35,0.25,0.52,0.69,0.28,0.23,0.16,0.18
Depreciation,0.96,0.72,0.76,0.74,0.73,0.72,0.75,0.83,0.96,0.79,0.63,0.57,0.54
Profit before tax,1.61,2.49,3.4,3.8,4.81,4.98,5.18,6.54,8.12,8.74,9.56,11.07,10.69
Tax %,32.3,32.53,32.65,32.11,33.06,33.13,27.22,26.3,26.72,27.35,24.37,25.84,
Net Profit,1.09,1.67,2.3,2.57,3.23,3.34,3.76,4.83,5.94,6.36,7.22,8.2,7.88
EPS in Rs,1.89,2.9,3.99,4.46,5.61,5.8,6.53,8.39,10.32,11.05,12.54,14.24,13.69
