,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,48.0,143.0,154.0,147.0,133.0,180.0,214.0,223
Expenses,39.0,102.0,111.0,107.0,90.0,128.0,158.0,167
Operating Profit,8.0,41.0,43.0,40.0,43.0,52.0,56.0,55
OPM %,18.0,29.0,28.0,27.0,33.0,29.0,26.0,25
Other Income,0.0,3.0,3.0,2.0,1.0,3.0,8.0,9
Interest,4.0,7.0,10.0,10.0,13.0,8.0,7.0,7
Depreciation,2.0,7.0,9.0,10.0,10.0,10.0,11.0,11
Profit before tax,3.0,30.0,27.0,22.0,22.0,36.0,47.0,46
Tax %,33.0,18.0,29.0,10.0,31.0,26.0,23.0,
Net Profit,2.0,25.0,19.0,20.0,15.0,27.0,36.0,36
EPS in Rs,4.05,50.06,33.51,7.03,5.05,6.9,9.21,9.14
