,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,97.0,97.0,97.0,102.0,115.0,124.0,139.0,148.0,164.0,172.0,182.0,183.0,190.0
Expenses,81.0,80.0,82.0,87.0,95.0,102.0,117.0,126.0,138.0,144.0,150.0,149.0,155.0
Operating Profit,17.0,18.0,16.0,16.0,19.0,22.0,22.0,22.0,26.0,27.0,33.0,35.0,36.0
OPM %,17.0,18.0,16.0,15.0,17.0,18.0,16.0,15.0,16.0,16.0,18.0,19.0,19.0
Other Income,0.0,0.0,3.0,7.0,-0.0,0.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0
Interest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
Depreciation,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0
Profit before tax,14.0,15.0,16.0,21.0,17.0,20.0,22.0,23.0,26.0,27.0,30.0,33.0,34.0
Tax %,24.0,22.0,21.0,15.0,23.0,26.0,21.0,23.0,25.0,26.0,16.0,24.0,25.0
Net Profit,11.0,12.0,13.0,18.0,13.0,15.0,18.0,18.0,19.0,20.0,25.0,25.0,25.0
EPS in Rs,1.02,1.15,1.19,1.68,1.25,1.42,1.67,1.69,1.83,1.88,2.36,2.38,2.38
