,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,50.43,54.23,55.57,66.89,63.83,52.47,36.21,29.84,28.37,23.93,52.35,50.76,37.00
Expenses,45.27,48.47,50.97,59.87,52.56,44.95,33.35,29.14,26.75,23.97,49.16,47.77,37.01
Operating Profit,5.16,5.76,4.6,7.02,11.27,7.52,2.86,0.7,1.62,-0.04,3.19,2.99,-0.01
OPM %,10.23,10.62,8.28,10.49,17.66,14.33,7.9,2.35,5.71,-0.17,6.09,5.89,-0.03
Other Income,1.36,1.71,1.91,2.93,2.89,2.57,2.57,2.54,2.0,2.05,1.59,1.82,2.20
Interest,0.16,0.2,0.23,0.27,0.27,0.2,0.1,0.05,0.12,0.13,0.11,0.1,0.07
Depreciation,0.94,1.06,1.11,0.81,0.72,0.62,0.55,0.6,0.89,0.95,0.96,0.89,0.82
Profit before tax,5.42,6.21,5.17,8.87,13.17,9.27,4.78,2.59,2.61,0.93,3.71,3.82,1.30
Tax %,34.69,28.5,34.24,33.48,35.54,33.87,33.26,15.83,24.14,26.88,24.53,25.92,
Net Profit,3.54,4.45,3.39,5.91,8.49,6.13,3.19,2.19,1.98,0.69,2.8,2.84,0.93
EPS in Rs,8.0,10.06,7.67,13.36,19.2,13.86,7.21,4.95,5.02,1.75,7.1,7.2,2.36
