,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,16.85,27.5,21.91,22.86,25.56,35.06,26.54,40.32,60.84,40.89,51.37,56.18
Expenses,15.2,26.5,22.32,21.24,23.02,30.39,23.65,32.3,46.02,33.03,40.21,44.75
Operating Profit,1.65,1.0,-0.41,1.62,2.54,4.67,2.89,8.02,14.82,7.86,11.16,11.43
OPM %,9.79,3.64,-1.87,7.09,9.94,13.32,10.89,19.89,24.36,19.22,21.72,20.35
Other Income,-0.02,0.51,0.12,0.24,0.3,0.49,0.39,0.29,0.47,0.22,1.61,1.68
Interest,0.23,0.32,0.25,0.04,0.17,0.17,0.23,0.3,0.25,0.22,0.3,0.22
Depreciation,1.19,0.98,0.82,0.25,0.88,0.89,0.96,0.98,1.15,1.4,1.17,1.57
Profit before tax,0.21,0.21,-1.36,1.57,1.79,4.1,2.09,7.03,13.89,6.46,11.3,11.32
Tax %,52.38,204.76,19.12,-0.64,25.7,18.29,-26.79,31.01,25.99,20.28,20.09,15.19
Net Profit,0.1,-0.23,-1.1,1.58,1.32,3.35,2.65,4.84,10.28,5.16,9.03,9.59
EPS in Rs,0.02,-0.05,-0.22,0.31,0.26,0.66,0.52,0.96,2.04,0.82,1.39,1.48
