,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,78.0,92.0,121.0,99.0,60.0,105.0,168.0,209
Expenses,72.0,81.0,105.0,92.0,58.0,96.0,135.0,164
Operating Profit,6.0,11.0,16.0,8.0,2.0,9.0,33.0,45
OPM %,8.0,12.0,13.0,8.0,3.0,9.0,20.0,22
Other Income,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4
Interest,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
Depreciation,0.0,1.0,2.0,4.0,4.0,3.0,5.0,5
Profit before tax,6.0,10.0,13.0,4.0,-3.0,6.0,29.0,43
Tax %,33.0,39.0,27.0,47.0,13.0,23.0,22.0,
Net Profit,4.0,6.0,10.0,2.0,-2.0,5.0,23.0,34
EPS in Rs,3.24,3.53,5.78,0.45,-0.46,0.9,3.54,5.73
