,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3.25,9.07,10.02,16.78,20.39,8.50
Expenses,3.23,9.07,9.07,15.32,24.12,12.47
Operating Profit,0.02,0.00,0.95,1.46,-3.73,-3.97
OPM %,0.62,0.00,9.48,8.7,-18.29,-46.71
Other Income,0.0,0.00,0.0,0.0,6.02,6.02
Interest,0.0,0.00,0.0,0.0,0.0,0.00
Depreciation,0.0,0.00,0.0,0.0,0.0,0.00
Profit before tax,0.02,0.00,0.95,1.46,2.29,2.05
Tax %,0.0,,25.26,25.34,29.26,
Net Profit,0.01,0.00,0.72,1.09,1.62,1.36
EPS in Rs,10.0,0.00,720.0,0.8,1.19,1.00
