,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,2.76,4.93,11.85,15.79,4.6,3.9
Expenses,1.71,4.2,11.12,15.48,8.64,3.83
Operating Profit,1.05,0.73,0.73,0.31,-4.04,0.07
OPM %,38.04,14.81,6.16,1.96,-87.83,1.79
Other Income,0.0,0.0,0.0,0.0,6.02,0.0
Interest,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0
Profit before tax,1.05,0.73,0.73,0.31,1.98,0.07
Tax %,22.86,0.0,50.68,0.0,33.84,28.57
Net Profit,0.81,0.73,0.36,0.31,1.31,0.05
EPS in Rs,810.0,730.0,0.26,0.23,0.96,0.04
