,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,0.01,-0.02,0.03,-26.43,-4.35
Cash from Investing Activity,0.0,0.0,0.0,0.0,-0.01
Cash from Financing Activity,0.0,0.0,0.0,29.49,1.42
Net Cash Flow,0.01,-0.02,0.03,3.06,-2.94
