,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,20.0,38,26,11
Inventory Days,120.0,179,134,88
Days Payable,62.0,49,69,42
Cash Conversion Cycle,78.0,168,92,57
Working Capital Days,51.0,92,64,31
ROCE %,,0,10,34
