,2023-09-01
Depreciation,23.0
EPS in Rs,12.56
Expenses,634.0
Interest,8.0
Net Profit,74.0
OPM %,17.0
Operating Profit,127.0
Other Income,2.0
Profit before tax,99.0
Sales,762.0
Tax %,25.0
