,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,654.0,405.0,684.0,1212.0
Expenses,578.0,380.0,614.0,1025.0
Operating Profit,76.0,25.0,70.0,187.0
OPM %,12.0,6.0,10.0,15.0
Other Income,1.0,5.0,3.0,5.0
Interest,4.0,7.0,10.0,12.0
Depreciation,25.0,28.0,38.0,41.0
Profit before tax,48.0,-5.0,24.0,139.0
Tax %,21.0,17.0,29.0,26.0
Net Profit,38.0,-4.0,17.0,103.0
EPS in Rs,967.52,-184.16,385.5,2572.08
