,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,37,8,51,173
Cash from Investing Activity,-55,-16,-34,-136
Cash from Financing Activity,17,32,-31,-12
Net Cash Flow,-1,24,-13,25
